Ad.starv	Juv.starv	MR
short	control	8.44066592091875
short	control	3.84890347516583
short	control	8.2914877914934
short	control	14.6944895750717
short	control	8.41411925288613
short	control	12.3590701581328
short	control	13.1496475772909
short	control	9.66626256968762
short	control	8.34741959873231
short	control	7.69164829200917
short	control	12.3843554894119
short	control	5.71826259600896
short	control	10.560272822124
short	control	8.57968399920757
short	control	1.27641581208781
short	control	4.44130056913658
short	control	13.0366400340604
short	control	8.9428173771077
short	control	12.6198402784065
short	control	16.6282332968163
short	control	15.0991262973369
short	control	12.1539478074096
short	control	11.0547704074894
short	control	8.93719968125027
short	control	15.4836667732573
short	control	11.8543533807871
short	control	5.31113669648874
short	control	9.07456974094969
short	control	2.55554618793516
short	control	8.92810319667123
short	starved	15.4823041963263
short	starved	9.33711067541844
short	starved	19.6674429796059
short	starved	12.0704580586992
short	starved	10.798417945908
short	starved	17.1916876844727
short	starved	13.4267476088021
short	starved	8.46978778182191
short	starved	18.8013856633942
short	starved	5.40354973065666
short	starved	6.8064050876815
short	starved	8.9703522934181
short	starved	12.875700778809
short	starved	11.2659761996197
short	starved	13.5558669530198
short	starved	15.3887611032417
short	starved	9.99436826090861
short	starved	23.0715898710779
short	starved	-0.500142755635849
short	starved	4.83443481813427
short	starved	15.8124681503098
short	starved	12.4571787164344
short	starved	12.9569554131069
short	starved	14.2184249200908
short	starved	8.90229057300597
short	starved	8.25595408929654
short	starved	11.7435321958734
short	starved	9.36882749914885
short	starved	13.8873207127633
short	starved	4.30004366557219
long	control	6.64472294664113
long	control	6.0272560038564
long	control	2.46184289753839
long	control	11.0751210660736
long	control	2.34650681529019
long	control	10.1279943324819
long	control	2.14310569389256
long	control	1.40282901269206
long	control	4.76311770221459
long	control	9.16661304036218
long	control	11.6074955420409
long	control	10.9446902840444
long	control	2.86644747801643
long	control	9.82508888896431
long	control	8.08524027128291
long	control	8.76374089239021
long	control	3.90221586999119
long	control	4.1754994533071
long	control	12.1674852769555
long	control	8.33407412053591
long	control	10.4217871370869
long	control	7.87595370151737
long	control	6.99356704083553
long	control	-0.136559794326423
long	control	11.9535054177477
long	control	14.1435474637417
long	control	13.1749192334122
long	control	8.79579153945676
long	control	12.7905863213844
long	control	10.9603849369336
long	starved	5.14660480433155
long	starved	5.09552023652226
long	starved	5.84165471788471
long	starved	5.10657371725253
long	starved	6.65867798151197
long	starved	7.15055535992544
long	starved	6.10397364893918
long	starved	8.92413632847386
long	starved	3.50188344046854
long	starved	8.20352975671448
long	starved	7.90404138186564
long	starved	3.55064365181713
long	starved	3.01016402037911
long	starved	2.65473716461354
long	starved	7.63596270421102
long	starved	6.10212312943599
long	starved	2.87453352131562
long	starved	5.3566377851306
long	starved	4.89761169944323
long	starved	5.75067438539449
long	starved	5.35809085624153
long	starved	5.11118303666703
long	starved	9.3623093188191
long	starved	7.31684918403484
long	starved	8.65433691986211
long	starved	5.10423361719396
long	starved	1.32450296810592
long	starved	6.85355320075732
long	starved	4.47890110516493
long	starved	8.82974029673763
