ID	treatment	init	final	change	percent
1	+/+	3.10602229672062	4.08017471885435	0.974152422133735	31.3633428569479
2	+/+	3.31816987444099	3.90549675217796	0.587326877736971	17.7003257808167
3	+/+	3.31766067511373	3.96372775818176	0.646067083068024	19.4735732895853
4	+/+	3.64235201913754	4.22414251054976	0.581790491412223	15.97293420173
5	+/+	3.23162350044775	3.76855945062427	0.536935950176521	16.6150527777177
6	+/+	3.33393941452282	3.90819979089007	0.574260376367255	17.2246794247594
7	+/+	3.16071604035252	4.19217135278808	1.03145531243557	32.6335962885336
8	+/+	3.31371646778523	4.05115432421658	0.737437856431348	22.2541024134218
9	+/+	2.48583787258234	3.74367775601488	1.25783988343253	50.6002381452922
10	+/+	3.05997567496044	3.93401795850879	0.874042283548355	28.563700381692
11	ob/ob	2.80765485128238	4.1636680144179	1.35601316313552	48.2970035478602
12	ob/ob	2.57331955762789	4.32710845421571	1.75378889658782	68.1527831003034
13	ob/ob	2.95404588130375	3.79917160023481	0.845125718931064	28.6090925086808
14	ob/ob	2.72901880812393	4.28424635700077	1.55522754887684	56.9885243827242
15	ob/ob	2.47258585088925	3.5943152959026	1.12172944501335	45.3666530773816
16	ob/ob	2.74519136829826	3.80176658331315	1.05657521501488	38.4882171500435
17	ob/ob	3.73593124519707	3.90173657789049	0.165805332693422	4.43812591322665
18	ob/ob	2.74515521244581	4.05947795419744	1.31432274175164	47.8779027062967
19	ob/ob	2.11940154501058	3.94711317674859	1.82771163173801	86.2371567125041
